Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
#BlackTechFutures Research Institute,Advocacy,Research,"Federal,State,City","Builds national network of HBCUs, city-based researchers, and community institutions focused on local Black tech ecosystems and tech talent. Received PIT Fund support to bolster Black civic tech workforce pipeline.",Philanthropy,Public Interest Tech Fund ($250K grant) + philanthropic,blacktechfutures.org,"Talent & Hiring,Participatory Democracy","Talent Pipeline,Expert Contribution,Civic Engagement"
Abundance New York,Advocacy,Ecosystems,City,"NYC-focused abundance advocacy organization pushing for housing supply expansion, zoning reform, and permitting streamlining at the city and state level.",Philanthropy,Individual donors + paid subscribers; affiliated 501(c)(4) and 501(c)(3) entities,abundanceny.org,"Domains,Procurement & Operations","Housing & Land Use,Permitting & Licensing,Regulatory & Administrative Burden"
Alliance of Civic Technologists (ACT),Advocacy,"Community,Ecosystems","Federal,State,City",National umbrella connecting 18+ volunteer civic tech groups. Organizes CityCamp unconferences and Civic Spark convenings. 500+ Discord members.,Volunteer,Member org contributions; small grants,civictechnologists.org,"Participatory Democracy,Talent & Hiring","Civic Engagement,Expert Contribution"
Civic Tech Field Guide,Advocacy,Community,"Federal,State,City","Largest open catalog of civic tech projects and organizations worldwide, with the Field Guide Friday newsletter (4,300+ subscribers). Serves as a discovery tool for technologists entering the field.",Volunteer,Primarily volunteer-run; small grants,civictech.guide,"Participatory Democracy,Talent & Hiring","Civic Engagement,Expert Contribution"
Demand Progress,Advocacy,Research,Federal,"Progressive advocacy organization with a congressional modernization portfolio covering transparency, open data, and legislative branch capacity. Co-authored bipartisan House rules reform proposals with Lincoln Network.",Philanthropy,Philanthropic grants + small-dollar donors,demandprogress.org,"Procurement & Operations,Participatory Democracy","Reaction Time,Transparency & Accountability,Democracy Infrastructure"
Electronic Frontier Foundation (EFF),Advocacy,Research,"Federal,State,City","Leading nonprofit defending civil liberties in the digital world through litigation, policy advocacy, and technology development. Shapes government surveillance law, AI policy, and digital rights frameworks.","Membership, Philanthropy","Individual members; Ford Foundation, MacArthur Foundation, Open Society Foundations",eff.org,"Technology & Data,Participatory Democracy,Domains","Data Security,Transparency & Accountability,AI in Government,Democracy Infrastructure"
Federation of American Scientists (FAS),Advocacy,"Research,Fellowships","Federal,State,City",Nonpartisan think tank running Day One Project for policy entrepreneurship. Innovation Ecosystem Job Board for displaced federal technologists (2025). Senior Fellows program.,Philanthropy,"Schmidt Futures, Coefficient Giving (fmr. Open Philanthropy), broad base",fas.org,"Talent & Hiring,Procurement & Operations","Expert Contribution,Reaction Time,Talent Pipeline,Hiring Architecture"
Inclusive Abundance,Advocacy,Ecosystems,"Federal,State","Coalition of center-left and center-right organizations advancing the abundance agenda: housing supply, energy permitting, regulatory reform, and state capacity. Members include FAS, Niskanen Center, R Street, and New America.",Philanthropy,Network of philanthropic funders,inclusiveabundance.org,"Domains,Procurement & Operations","Housing & Land Use,Permitting & Licensing,Regulatory & Administrative Burden"
Institute for Responsive Government (IRG),Advocacy,Research,"State,City","Designs policy solutions for government service delivery and election administration, including automatic voter registration, cross-agency data sharing, and UX reform for DMVs, tax departments, and benefits offices. Research is aimed at state legislators and local administrators. Fiscally sponsored by New Venture Fund, with a separate 501(c)(4) arm (Responsive Gov Action).",Philanthropy,New Venture Fund fiscal sponsorship; philanthropic grants,responsivegov.org,"Service Delivery,Participatory Democracy,Procurement & Operations","Service Design,Benefits Access,Democracy Infrastructure,Civic Engagement,Regulatory & Administrative Burden"
National Conference on Citizenship (NCoC) / Project Redesign,Advocacy,Research,"Federal,State,City",Civic health research. Project Redesign focuses on redesigning public services. Co-created TELI program.,Philanthropy,Philanthropic grants,ncoc.org,"Participatory Democracy,Service Delivery,Test & Learn","Civic Engagement,Democracy Infrastructure,Service Design,Iterative Learning"
New Practice Lab,Advocacy,Digital Services & Consulting,"Federal,State",New America initiative working to improve government program design for families through policy advocacy and implementation sprints with government agencies.,Philanthropy,New America foundation funding,nplimpact.org,"Service Delivery,Test & Learn","Benefits Access,Service Design,Iterative Learning,Outcomes Measurement"
Open New York,Advocacy,,City,NYC-based advocacy organization pushing for housing supply expansion through zoning reform and land use deregulation. Primary policy focus is increasing housing production in New York City.,Philanthropy,Coefficient Giving (fmr. Open Philanthropy),opennewyork.org,"Domains,Procurement & Operations","Housing & Land Use,Permitting & Licensing,Regulatory & Administrative Burden"
Open The Government,Advocacy,,Federal,"Coalition advocating for government transparency, open data, and accountability. Works on FOIA reform, open data policy, and government information access. Part of broader good-government advocacy ecosystem.",Philanthropy,Philanthropic grants,openthegovernment.org,"Participatory Democracy,Technology & Data,Procurement & Operations","Transparency & Accountability,Data Integration,Democracy Infrastructure,Reaction Time"
Partnership for Public Service,Advocacy,"Capacity Building,Research","Federal,State,City","Nonpartisan advocacy and capacity building organization dedicated to better government and stronger democracy. Engages the public about the value of government and public servants; develops and advocates for reform as part of its Government for a New Era initiative; and offers training and development to public servants at the federal, state, and local levels.",Philanthropy,Broad philanthropic base; earned revenue from training,ourpublicservice.org,"Talent & Hiring,Service Delivery,Test & Learn,Technology & Data,Procurement & Operations,Participatory Democracy,Domains","AI in Government,Civic Engagement,Feedback Loops,Hiring Architecture,Hiring Process,Legacy Systems,Operational Excellence,Regulatory & Administrative Burden,Scaling What Works,Shared Platforms,Talent Pipeline,Transparency & Accountability,Workforce Development,Service Design"
POPVOX Foundation,Advocacy,"Research,Community",Federal,"Congressional modernization nonprofit focused on AI-ready legislatures and legislative branch capacity. Key 2025 wins: secured 4M House Modernization Initiatives Account; advanced CaseCompass unified casework data schema; launched Digital Parliaments Project globally. Runs Future-Proofing Congress newsletter, Casework Navigator, and Keeping Pace AI briefing for Congressional staff.",Philanthropy,"Hewlett Foundation, Democracy Fund, philanthropic grants",popvox.org,"Procurement & Operations,Participatory Democracy,Test & Learn,Domains,Talent & Hiring","Procurement Reform,Operational Excellence,Democracy Infrastructure,AI in Government,Workforce Development,Evidence Use"
Public Interest Technology University Network (PIT-UN),Advocacy,"Research,Capacity Building","Federal,State,City","Network of 63 universities co-convened by New America, Ford Foundation, and Hewlett Foundation. $16M+ deployed to 154 projects building the PIT field through curriculum, faculty research, and experiential learning.",Philanthropy,"Ford Foundation, Hewlett Foundation, Mastercard, McGovern, Raikes, Schmidt Futures, Siegel",newamerica.org/pit/university-network,"Talent & Hiring,Test & Learn","Talent Pipeline,Evidence Use,Scaling What Works"
Recoding America Fund,Advocacy,"Philanthropy,Digital Services & Consulting","Federal,State","$120M 6-year pooled philanthropic initiative grantmaking for government workforce, digital infrastructure, and procedural reform. Chaired by Jennifer Pahlka.",Philanthropy,"Pooled fund; early backers include Arnold Ventures, Alta Futures, and Packard Foundation",recodingamerica.fund,"Procurement & Operations,Service Delivery,Talent & Hiring,Test & Learn","Procurement Reform,Workforce Development,Service Design,Evidence Use"
Results for America,Advocacy,Research,"State,City",Helps government use evidence and data. Runs What Works Cities and States certifications promoting performance management and evidence-based policymaking.,Philanthropy,"Bloomberg Philanthropies, Arnold Ventures",results4america.org,Test & Learn,"Evidence Use,Outcomes Measurement,Scaling What Works,Feedback Loops"
Tech Talent Project,Advocacy,"Capacity Building,Fellowships","Federal,State,City","Connects senior technologists with government roles and helps new administrations build tech leadership from day one, including first-100-days playbooks for states. Co-runs TELI executive training with Aspen Policy Academy. Has matched technical leaders with state and local governments since 2017.",Philanthropy,Philanthropic grants,techtalentproject.org,Talent & Hiring,"Talent Pipeline,Hiring Architecture,Hiring Process,Expert Contribution"
Work for America,Advocacy,,"Federal,State,City","Advocacy organization working to modernize government hiring and talent pipelines, combining direct workforce programs with HR policy advocacy.",Philanthropy,Foundation grants,workforamerica.org,Talent & Hiring,"Talent Pipeline,Hiring Process,Hiring Architecture"
Apolitical,Capacity Building,Community,"Federal,State,City","Global social learning network for public servants, with 500,000+ members in 170 countries, including 50,000+ US civil servants. Offers online courses on digital government and AI, including the Government AI Campus (launched 2023). Approved supplier on multiple government learning procurement frameworks.","Government Contracts, Membership","Government contracts (UK, US, and other governments); subscription fees",apolitical.co,"Talent & Hiring,Domains,Procurement & Operations,Test & Learn","Talent Pipeline,AI in Government,Operational Excellence,Scaling What Works,Workforce Development"
Aspen Policy Academy (fmr. Aspen Tech Policy Hub),Capacity Building,"Research,Advocacy","Federal,State,City","S&T Policy Training (3-week intensive), TELI exec program (5-week, 150+ alumni), Primer, and short courses training STEM professionals on policy impact.",Philanthropy,"Craig Newmark Philanthropies, Ford Foundation, Siegel Family Endowment",aspenpolicyacademy.org,"Talent & Hiring,Procurement & Operations","Expert Contribution,Reaction Time,Talent Pipeline"
Center for Civic Futures (CCF) / AI Readiness Project,Capacity Building,"Community,Research,Ecosystems",State,"Nonpartisan nonprofit running the AI Readiness Project and the State Chief AI Officer Community of Practice (30+ states). Houses the Public Benefit Innovation Fund, which awarded $8.5M to eight state AI benefits projects in Dec 2025. Runs structured pilots for responsible AI in public service.",Philanthropy,"Rockefeller Foundation ($500K+ for AI Readiness); PBIF partners Ballmer Group, Gates Foundation, W.K. Kellogg Foundation, Renaissance Philanthropy, Families and Workers Fund",centerforcivicfutures.org,"Domains,Test & Learn,Procurement & Operations","AI in Government,Scaling What Works,Procurement Reform"
Civic Tech Institute (Equitech Futures),Capacity Building,,"Federal,State,City","10-week fully funded cohort program training early-career professionals in data science, AI, and civic innovation. Certificate + 1-year alumni mentorship.",Philanthropy,Equitech Futures philanthropic partners,equitechfutures.com,"Talent & Hiring,Domains,Test & Learn","Talent Pipeline,AI in Government,Iterative Learning"
Decoded Futures (Tech:NYC Foundation),Capacity Building,,City,"AI capacity-building for NYC nonprofits delivering public services. Cohort-based AI training, industry tech mentors, prototyping support, and grants ($5K-$100K/org).",Philanthropy,"Robin Hood, Google.org, Salesforce, OpenAI, Altman Foundation, AWS",decodedfutures.nyc,"Domains,Talent & Hiring,Test & Learn","AI in Government,Talent Pipeline,Scaling What Works"
InnovateUS,Capacity Building,,"State,City","Free digital and AI skills training for public servants, with 200,000+ learners across 50 states and 80 countries and 100+ agency partners. A $5M Google.org grant (2025) funds expansion to 100,000+ more state and local workers. Founded by Beth Simone Noveck at Northeastern University's Burnes Center.",Philanthropy,Google.org (5M grant 2025); Hewlett Foundation; philanthropic grants,innovate-us.org,"Talent & Hiring,Domains,Procurement & Operations,Test & Learn","Talent Pipeline,AI in Government,Operational Excellence,Scaling What Works,Workforce Development"
National Academy of Public Administration (NAPA),Capacity Building,Research,"Federal,State,City","Congressionally chartered. Convenes expert panels studying federal agency management, organizational design, and institutional effectiveness.",Government,Congressional appropriations + study fees,napawash.org,"Procurement & Operations,Talent & Hiring,Test & Learn,Participatory Democracy","Operational Excellence,Hiring Architecture,Outcomes Measurement,Democracy Infrastructure,Evidence Use"
Special Competitive Studies Project (SCSP): AI Expo / Talent Initiatives,Capacity Building,Research,Federal,"Eric Schmidt-founded initiative (2022) on U.S. technological competitiveness in AI and advanced technology. Produces policy recommendations, convenes government and industry leaders, and hosts the annual AI Expo for National Competitiveness in DC, shaping AI talent and government technology workforce policy.",Philanthropy,Eric Schmidt-affiliated funding,scsp.ai,"Domains,Procurement & Operations,Talent & Hiring","AI in Government,Reaction Time,Expert Contribution"
BetaNYC,Community,,City,"NYC civic tech, open data, and open government community (est. 2013). Co-hosts NYC Open Data Week and NYC School of Data and builds tools such as Boundaries Map. Partners with NYC OTI; ACT founding member.",Volunteer,Small grants; NYC OTI partnership; volunteer-driven,beta.nyc,"Participatory Democracy,Technology & Data","Transparency & Accountability,Data Integration,Civic Engagement"
Chi Hack Night,Community,,City,"Chicago's weekly civic tech meetup (est. 2012), in person and online, featuring speakers from government, nonprofits, and tech. Spawned projects including mRelief. Elected board; ACT founding member.",Volunteer,Small grants; sponsor support; volunteer-driven,chihacknight.org,"Participatory Democracy,Service Delivery","Civic Engagement,Benefits Access"
Civic Tech Atlanta,Community,,City,Atlanta civic tech group hosting monthly hack nights and providing data support to community organizations. Runs a structured project lifecycle pipeline. ACT founding member.,Volunteer,Volunteer-driven,civictechatlanta.org,Participatory Democracy,Civic Engagement
Civic Tech DC,Community,,City,Washington DC volunteer civic hacking group. Hosted Civic Hack DC 2025 (80 participants) focused on open-source tools for Regulations.gov public comment analysis. ACT member.,Volunteer,Volunteer-driven; venue sponsors (Taoti Creative),civictechdc.org,Participatory Democracy,"Transparency & Accountability,Civic Engagement,Democracy Infrastructure"
Code for Boston,Community,,City,Boston-area civic tech group running hybrid hack nights at Cambridge Innovation Center. Builds MAPLE (Massachusetts Platform for Legislative Engagement) for submitting legislative testimony. ACT founding member.,Volunteer,Volunteer-driven; small grants,codeforboston.org,Participatory Democracy,"Civic Engagement,Democracy Infrastructure,Transparency & Accountability"
Code for BTV,Community,,City,"Burlington, VT civic tech group hosting biweekly 'Action Nights' (fmr. Hack Night). ACT founding member.",Volunteer,Volunteer-driven,codeforbtv.org,Participatory Democracy,Civic Engagement
Code for Charlottesville,Community,,City,"Charlottesville, VA civic tech group doing pro bono projects with local nonprofits and government agencies, with UVA and PVCC student involvement. GitHub activity through 2025 includes a Virginia schools AI policy analysis. ACT member.",Volunteer,Volunteer-driven,codeforcville.org,Participatory Democracy,"Civic Engagement,Transparency & Accountability"
Code for Dayton,Community,,City,Dayton civic tech group with monthly meetings. Projects include Florence Nightingale Museum website and demolition permit monitoring for Preservation Dayton. ACT founding member.,Volunteer,Volunteer-driven,codefordayton.org,Participatory Democracy,"Civic Engagement,Transparency & Accountability"
Code for Philly,Community,,City,"Philadelphia civic tech community. Projects include Clean & Green Philly (vacant lot greening to reduce gun violence), Phlask (map of free water, food, and bathrooms), and a Benefit Decision Toolkit. ACT founding member.",Volunteer,Volunteer-driven,codeforphilly.org,"Service Delivery,Participatory Democracy","Benefits Access,Civic Engagement,Democracy Infrastructure,Transparency & Accountability"
Code with the Carolinas,Community,,State,"Carolinas civic tech community, independent of the Code for America Brigade Network since 2023 and fiscally sponsored through Open Collective. Last documented activity (2024): Open Sidewalks accessibility mapping and Zoning Atlas. ACT member.",Volunteer,Volunteer-driven,opencollective.com/code-with-the-carolinas,"Participatory Democracy,Domains","Civic Engagement,Housing & Land Use,Transparency & Accountability"
ELGL (Engaging Local Government Leaders),Community,Capacity Building,"State,City","501(c)(3) network of 4,800+ local government leaders across all 50 states. Runs the GovLove podcast, Top Influencers awards, Analyst Academy, and Public Service Recognition Week.",Volunteer,Membership dues + sponsors + event revenue,elgl.org,"Talent & Hiring,Procurement & Operations","Talent Pipeline,Operational Excellence,Expert Contribution,Workforce Development"
Florida Community Innovation (FCI),Community,,State,Florida civic tech organization running the Florida Resource Map project and an AI Fellow program. Published an organizational handbook (2025). ACT member.,Volunteer,Volunteer-driven; small grants,floridainnovation.org,"Participatory Democracy,Talent & Hiring","Civic Engagement,Expert Contribution"
GovLoop,Community,Capacity Building,"Federal,State,City","Online community of 300,000+ government professionals. Featured Contributor Program, NextGen Government Training Summit, and educational resources on modernization, AI, and workforce. Knowledge-sharing platform connecting public servants across levels.",Philanthropy,GovExec Media / Owned by Government Executive Media Group; sponsor-supported content,govloop.com,"Talent & Hiring,Procurement & Operations","Talent Pipeline,Operational Excellence,Expert Contribution,Workforce Development"
Hack for LA,Community,,City,"Los Angeles network of civic-minded technologists building digital products with community partners and local government. Global volunteer base (designers, developers, PMs). Maintains Civic Tech Index.",Volunteer,Volunteer-driven,hackforla.org,"Participatory Democracy,Service Delivery","Civic Engagement,Service Design"
Open Austin,Community,,City,"Austin civic tech community hosting design community of practice, hack nights, and mixers. Sold-out 2025 Public Interest Tech Mixer (37 attendees, 40% people of color). ACT founding member.",Volunteer,Volunteer-driven,open-austin.odoo.com,"Participatory Democracy,Talent & Hiring","Civic Engagement,Transparency & Accountability,Expert Contribution"
Open Sacramento,Community,,City,Sacramento civic tech group (recently rebranded with new website). Virtual community action nights. ACT member.,Volunteer,Volunteer-driven,opensacramento.org,Participatory Democracy,Civic Engagement
Open Source San Jose,Community,,City,"San Jose civic tech collective running monthly hack nights (ACT member since 2025). Building Tally Up, a meal distribution tracking app for the CA Department of Education.",Volunteer,Volunteer-driven,opensourcesanjose.org,"Participatory Democracy,Service Delivery","Civic Engagement,Benefits Access"
OpenOakland,Community,,City,Oakland civic tech group building tools for government transparency and community access. ACT member.,Volunteer,Volunteer-driven,openoakland.org,Participatory Democracy,"Transparency & Accountability,Civic Engagement"
SF Civic Tech,Community,,City,"San Francisco civic tech community (fmr. Code for San Francisco, est. 2013), independent 501(c)(3) since 2024. Runs weekly virtual hack nights and is building the SafeHome earthquake risk dashboard. ACT founding member.",Volunteer,Volunteer-driven; independent nonprofit since 2024,sfcivictech.org,"Participatory Democracy,Domains","Transparency & Accountability,Civic Engagement,Crisis Response"
Technologists for the Public Good (TPG),Community,,"Federal,State,City","501(c)(6) professional association (est. 2020) for public interest technologists across government, nonprofits, academia, and civic tech. Runs networking events, conferences, mentorship, and the Tech to Gov Virtual Forum & Job Fair. Co-hosted State of GovTech 2025 with CivStart.",Volunteer,Membership dues + event revenue + sponsorships,publicgood.tech,Talent & Hiring,"Talent Pipeline,Expert Contribution,Hiring Architecture"
UChicago Civic Analytics Network (Harris School),Community,Ecosystems,"Federal,State,City",Network of chief data officers and analytics leaders in government. Research on data-driven governance and performance management.,"University,Philanthropy",UChicago + donor support,harris.uchicago.edu,"Test & Learn,Technology & Data","Outcomes Measurement,Data Integration,Evidence Use"
Ad Hoc,Digital Services & Consulting,,Federal,"Federal digital services firm founded in 2014 out of the healthcare.gov rescue, with roughly 700 staff. Work includes VA.gov (consolidating 500+ sites), Medicare Plan Finder, and Search.gov. Builds agency capacity through embedded product teams.",Private,Federal government contracts,adhoc.team,"Service Delivery,Technology & Data,Domains","Service Design,Legacy Systems,Benefits Access,Healthcare Access"
Agile Six,Digital Services & Consulting,,Federal,"Public benefit corporation delivering human-centered digital services to federal agencies. Primary focus on VA digital services and benefits delivery, CDC pandemic readiness, and CMS Medicare modernization. Fully remote, values-driven culture.",Private,Federal government contracts,agile6.com,"Service Delivery,Technology & Data,Domains","Service Design,Legacy Systems,Healthcare Access,Benefits Access"
Behavioural Insights Team (BIT),Digital Services & Consulting,Research,"Federal,State,City","Applied behavioral science consultancy founded inside the UK government in 2010, now owned by Nesta, with US offices in New York and Washington DC. Designs and tests government programs using RCTs and behavioral design, including 95+ RCTs with US cities through What Works Cities. Partnered with NASWA on UI modernization (Nevada DETR, 2023).",Earned Revenue,"Government contracts and philanthropy (Bloomberg Philanthropies, What Works Cities); owned by Nesta charity",bi.team,"Test & Learn,Service Delivery","Evidence Use,Iterative Learning,Service Design,Outcomes Measurement,Feedback Loops"
Bloom Works,Digital Services & Consulting,,"Federal,State","Digital services consultancy delivering user research, service design, engineering, and content strategy to government agencies. Focus on healthcare.gov and social services modernization. Woman-owned small business.",Private,Federal and state government contracts,bloomworks.digital,"Service Delivery,Domains,Test & Learn","Service Design,Benefits Access,Healthcare Access,Iterative Learning"
Civic Consulting Alliance,Digital Services & Consulting,Research,City,"Chicago-based nonprofit (est. 1985) providing $15-30M/year in pro bono consulting to city and county government. Mobilizes corporate partners (BCG, Deloitte, McKinsey, etc.) for systems-level projects on economic development, education, safety, and health. $200M+ total investment facilitated.",Philanthropy,"MacArthur Foundation, corporate pro bono partners, philanthropic grants",ccachicago.org,"Procurement & Operations,Test & Learn,Service Delivery","Operational Excellence,Scaling What Works,Service Design,Outcomes Measurement"
Civic Design Collaborative,Digital Services & Consulting,,"Federal,State,City",Human-centered design and civic innovation consultancy working with government agencies on service delivery improvement.,"Government Contracts, Grants",Government contracts; grant funding,civicdesign.co,"Service Delivery,Test & Learn","Service Design,Benefits Access,Iterative Learning"
CivicActions,Digital Services & Consulting,,"Federal,State","Twenty years delivering digital services to federal and state agencies - open-source by default and outcomes-focused. Current portfolio includes healthcare.gov, medicare.gov, cms.gov, nsf.gov, and va.gov, with deep practice in agile delivery, user-centered design, accessibility compliance, DevSecOps, and responsible AI-enabled modernization.",Private,Federal and state government contracts,civicactions.com,"Service Delivery,Technology & Data","Service Design,Legacy Systems,Shared Platforms"
