Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic,Source URL,Match notes
Design for America,Capacity Building,"Government,Digital Services & Consulting",,"Design for America is an idea incubator, a motivated community, and a way of approaching complicated challenges. DFA shapes the next generation of social innovators.",,,http://designforamerica.com/,"Talent & Hiring,Test & Learn,Service Delivery","Workforce Development,Iterative Learning,Service Design",https://civictech.guide/design-for-america,core: Courses; Innovation teams and labs; Playbooks and design principles; Toolkits | Non-profit / charity / foundation
Pilot Pitchfest,Research,"Philanthropy,Community",City,We match New York City agencies to local researchers and technical assistance from civic society,,,https://www.pilotpitchfest.org/,"Test & Learn,Talent & Hiring,Procurement & Operations","Scaling What Works,Expert Contribution,Procurement Reform",https://civictech.guide/pilot-pitchfest,core: Funders & donors; Pro bono and volunteer; Public Private Partnerships; Supporting public sector from outside government | Academic / research organization
Aspen Tech Policy Hub Fellowship Program,Fellowships,"Ecosystems,Research",,"Our program mixes the best of both Washington and Silicon Valley, bringing together stakeholders in policy and technology to train the next generation of policy entrepreneurs.",,,https://www.aspentechpolicyhub.org/#/fellowship,"Talent & Hiring,Domains","Talent Pipeline,Hiring Process,AI in Government",https://civictech.guide/aspen-tech-policy-hub-fellowship-program,core: Fellowships; Find a job or hire someone; Tech or Digital Policy | Non-profit / charity / foundation
BillBoard,Advocacy,,Federal,"BillBoard (mybillboard.org) is an independent, nonpartisan US Congress bill tracker that pairs live Congress.gov records with original, source-linked plain-English explainers of what each bill would do, why it exists, and who it would affect.",,,https://mybillboard.org,Participatory Democracy,Transparency & Accountability,https://civictech.guide/billboard,core: Government transparency; Legislation trackers; Parliamentary and congressional monitoring | Non-profit / charity / foundation
Congressional Data Coalition,Government,"Advocacy,GovTech",Federal,"We believe Congress should publish legislative information in formats both humans and computers can make sense of. Our mission is to promote greater transparency, preservation, and access to Congressional data.",,,http://congressionaldata.org/,"Participatory Democracy,Procurement & Operations","Transparency & Accountability,Operational Excellence",https://civictech.guide/congressional-data-coalition,core: Access to laws; Government transparency; Tools for Parliamentarians and Legislators | Government / public sector
CyberCAN,Research,"GovTech,Community",City,Cybersecurity for Cities and Nonprofits,,,https://cltc.berkeley.edu/program/cybercan/,"Technology & Data,Talent & Hiring,Service Delivery","Data Security,Expert Contribution,Service Design",https://civictech.guide/cybercan,core: Cybersecurity; Pro bono and volunteer; Supporting public sector from outside government | Academic / research organization
Iggy Love,GovTech,Digital Services & Consulting,,Iggy Love is a multidisciplinary designer & engineer.,,,https://iggy.love/,"Technology & Data,Service Delivery,Participatory Democracy","Shared Platforms,Service Design,Civic Engagement",https://civictech.guide/iggy-love,core: Building in the private sector; Civic apps outfits; Participation consultants | For-profit business / social enterprise / B Corp
Metro Ideas Project,Advocacy,"Research,GovTech",City,"We are an independent, nonprofit research startup devoted to the analysis and design of public policies that help make midsize cities work better for people.",,,https://metroideas.org,"Participatory Democracy,Test & Learn,Domains","Transparency & Accountability,Evidence Use,Housing & Land Use",https://civictech.guide/metro-ideas-project,core: Budget explorers; Research and policy centers; Urban planning | Non-profit / charity / foundation
The Reporters’ Lab,Research,Government,,"The Reporters’ Lab is a center for journalism research in the Sanford School of Public Policy at Duke University. Our core projects focus on fact-checking, but we also do occasional research about trust in the news media and other topics.",,,https://reporterslab.org/,Test & Learn,"Iterative Learning,Evidence Use",https://civictech.guide/the-reporters-lab,core: Innovation teams and labs; Peer-reviewed research; Research and policy centers | Academic / research organization
Town+Gown,Government,"Ecosystems,Research",City,"Created in 2009-2010, Town+Gown is a city-wide university-community partnership program, resident at the New York City Department of Design and Construction (DDC), that brings academics and practitioners together to create actionable knowledge in the built environment.",,,https://www1.nyc.gov/site/ddc/about/town-gown.page,"Procurement & Operations,Test & Learn,Service Delivery","Procurement Reform,Evidence Use,Service Design",https://civictech.guide/towngown,core: Public Private Partnerships; Research and policy centers; Supporting public sector from outside government | Government / public sector
Truth In Polling,GovTech,Advocacy,Federal,"Nonprofit AI platform making every bill plain-English and letting verified voters register, vote on legislation, and send weekly feedback directly to their reps.",,,https://truthinpolling.com,"Service Delivery,Participatory Democracy","Service Design,Transparency & Accountability",https://civictech.guide/truth-in-polling,core: Communicating with the government; Legislation trackers; Watchdogging government | Non-profit / charity / foundation
